,Company Name,Rating,Reviews,Company Type,HQ,Company Age,Employee Count
0,TCS,3.9,(43.6k Reviews),Public,"Mumbai,Maharashtra + 250 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(28.9k Reviews),Public,"Dublin,Dublin + 136 more",33 years old,1 Lakh+ Employees (India)
2,Cognizant,4.0,(26.1k Reviews),Private,Teaneck. New Jersey. + 88 more,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(32.9k Reviews),Public,"Mumbai,Maharashtra + 1007 more",28 years old,50k-1 Lakh Employees (India)
4,Wipro,3.9,(24.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 258 more",77 years old,1 Lakh+ Employees (India)
5,HDFC Bank,4.0,(34.1k Reviews),Public,"Mumbai,Maharashtra + 1137 more",28 years old,1 Lakh+ Employees (India)
6,Capgemini,3.9,(21.2k Reviews),Public,Paris + 73 more,55 years old,1 Lakh+ Employees (India)
7,HCL Technologies,3.9,(20.8k Reviews),Public,"Noida,Uttar Pradesh + 160 more",46 years old,1 Lakh+ Employees (India)
8,Infosys,4.0,(24.9k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 121 more",41 years old,1 Lakh+ Employees (India)
9,Tech Mahindra,3.7,(19.3k Reviews),Public,"Pune,Maharashtra + 191 more",36 years old,50k-1 Lakh Employees (India)
10,Genpact,4.0,(19.4k Reviews),Private,"New York,New York + 61 more",25 years old,50k-1 Lakh Employees (India)
11,Axis Bank,3.9,(17.3k Reviews),Public,"Mumbai,Maharashtra + 1013 more",29 years old,50k-1 Lakh Employees (India)
12,IBM,4.2,(14.3k Reviews),Public,"Armonk,New York + 113 more",111 years old,50k-1 Lakh Employees (India)
13,Amazon,4.2,(13.8k Reviews),Private,"Seattle,Washington + 333 more",28 years old,1 Lakh+ Employees (India)
14,Concentrix Corpo...,4.1,(13.7k Reviews),Public,"Fremont,California + 64 more",39 years old,10k-50k Employees (India)
15,Larsen & Toubro ...,4.1,(18.7k Reviews),Public,"Mumbai,Maharashtra + 502 more",84 years old,10k-50k Employees (India)
16,Reliance jio,4.0,(13.4k Reviews),Public,"Navi Mumbai,Maharashtra + 921 more",15 years old,10k-50k Employees (India)
17,Vodafone Idea,4.3,(13k Reviews),Public,"Gandhinagar,Gujrat + 553 more",4 years old,10k-50k Employees (India)
18,HDB Financial Se...,4.0,(12.1k Reviews),Private,"Ahmedabad,Gujrat + 721 more",15 years old,1 Lakh+ Employees (India)
19,Teleperformance,3.6,(9.7k Reviews),Private,Paris + 114 more,44 years old,50k-1 Lakh Employees (India)
20,Kotak Mahindra B...,3.9,(12.6k Reviews),Public,"Mumbai,Maharashtra + 463 more",19 years old,10k-50k Employees (India)
21,Reliance Industr...,4.1,(38k Reviews),Public,"Navi Mumbai,Maharashtra + 428 more",49 years old,1 Lakh+ Employees (India)
22,Bharti Airtel,4.1,(11.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 474 more",27 years old,5k-10k Employees (India)
23,Deloitte,4.1,(8.5k Reviews),Private,"New York,New York + 134 more",177 years old,10k-50k Employees (India)
24,Tata Motors,4.1,(8.4k Reviews),Public,"Pune,Maharashtra + 377 more",77 years old,50k-1 Lakh Employees (India)
25,Reliance Retail,4.1,(13k Reviews),Private,"Navi Mumbai,Maharashtra + 540 more",16 years old,1 Lakh+ Employees (India)
26,Mahindra & Mahin...,4.1,(19.5k Reviews),Public,"Mumbai,Maharashtra + 394 more",77 years old,10k-50k Employees (India)
27,IndusInd Bank,3.8,(6.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 536 more",28 years old,10k-50k Employees (India)
28,WNS,3.7,(6.3k Reviews),Private,"Mumbai,Maharashtra + 20 more",26 years old,10k-50k Employees (India)
29,DXC Technology,3.9,(6.4k Reviews),Public,"Minato,Tokyo + 55 more",31 years old,10k-50k Employees (India)
30,Hinduja Global S...,4.0,(5.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 74 more",22 years old,1k-5k Employees (India)
31,Flipkart,4.2,(10.1k Reviews),Public,"Bangalore,Karnataka + 394 more",15 years old,10k-50k Employees (India)
32,Maruti Suzuki,4.1,(5.5k Reviews),Public,"New Delhi,Delhi + 364 more",39 years old,10k-50k Employees (India)
33,Ernst & Young,3.8,(5.4k Reviews),Private,London + 69 more,20 years old,50k-1 Lakh Employees (India)
34,Samsung,4.1,(7.7k Reviews),Private,"Ridgefield Park,NJ + 414 more",84 years old,50k-1 Lakh Employees (India)
35,Infosys BPM,4.0,(5.3k Reviews),"Bangalore/Bengaluru,Karnataka + 44 more",20 years old,10k-50k Employees (India),
36,HSBC,4.1,(5.5k Reviews),Private,"Pune,Maharashtra + 55 more",20 years old,10k-50k Employees (India)
37,Ericsson,4.3,(5.1k Reviews),Private,"Stockholm,Stockholm County + 127 more",146 years old,10k-50k Employees (India)
38,BYJU'S,3.7,(9.2k Reviews),Private,"Bangalore,Karnataka + 151 more",11 years old,1k-5k Employees (India)
39,Bajaj Finserv,4.1,(12.6k Reviews),Public,"Pune,Maharashtra + 623 more",15 years old,10k-50k Employees (India)
40,Conneqt Business...,3.8,(4.6k Reviews),Private,"Mumbai,Maharashtra + 145 more",20 years old,10k-50k Employees (India)
41,IDFC FIRST Bank,4.0,(4.6k Reviews),Public,"Mumbai,Maharashtra + 351 more",4 years old,10k-50k Employees (India)
42,Dr. Reddy's,4.2,(4.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 127 more",36 years old,10k-50k Employees (India)
43,Startek,3.5,(4.5k Reviews),Public,"Mumbai,Maharashtra + 51 more",5 years old,5k-10k Employees (India)
44,Jana Small Finan...,3.9,(4.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 302 more",16 years old,10k-50k Employees (India)
45,Mphasis,3.8,(4.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 42 more",22 years old,1k-5k Employees (India)
46,Sutherland Globa...,3.9,(4.8k Reviews),Private,"Pittsford,New York + 38 more",36 years old,10k-50k Employees (India)
47,Cipla Pharmaceut...,4.1,(4.4k Reviews),Public,"Mumbai,Maharashtra + 184 more",87 years old,10k-50k Employees (India)
48,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 394 more",22 years old,10k-50k Employees (India)
49,Yes Bank,4.0,(4.2k Reviews),Public,"Mumbai,Maharashtra + 341 more",18 years old,10k-50k Employees (India)
50,Bajaj Allianz Li...,4.2,(4.2k Reviews),Private,Pune + 423 more,21 years old,10k-50k Employees (India)
51,Asian Paints,4.3,(4.7k Reviews),Public,"Mumbai,Maharashtra + 322 more",80 years old,10k-50k Employees (India)
52,Lupin,4.2,(4.1k Reviews),Public,"Mumbai,Maharashtra + 126 more",54 years old,10k-50k Employees (India)
53,NTT DATA,4.1,(7.8k Reviews),Private,"Chiyoda City,Tokyo + 37 more",34 years old,10k-50k Employees (India)
54,Indian Army,4.7,(3.9k Reviews),Public,"New Delhi,Delhi + 260 more",127 years old,1 Lakh+ Employees (India)
55,HDFC LIFE,4.1,(3.9k Reviews),Public,"Mumbai,Maharashtra + 389 more",22 years old,10k-50k Employees (India)
56,EXL Service,3.9,(4.8k Reviews),Private,"New York City,New York + 32 more",23 years old,10k-50k Employees (India)
57,Udaan,4.2,(3.8k Reviews),Private,"Bangalore,Karnataka + 295 more",6 years old,10k-50k Employees (India)
58,Home Credit Fina...,4.2,(3.8k Reviews),Private,Gurugram + 98 more,10 years old,10k-50k Employees (India)
59,L&T Infotech,3.9,(3.6k Reviews),Public,"Mumbai,Maharashtra + 78 more",26 years old,10k-50k Employees (India)
60,Zydus Cadila,4.1,(4.6k Reviews),Public,"Ahmedabad, India + 130 more",70 years old,10k-50k Employees (India)
61,Bajaj Finance,4.2,(3.6k Reviews),Private,"Pune,Maharashtra + 578 more",35 years old,10k-50k Employees (India)
62,PwC,3.8,(3.6k Reviews),Partnership,London + 58 more,24 years old,5k-10k Employees (India)
63,Hindustan Unilev...,4.3,(5.7k Reviews),Public,"Mumbai,Maharashtra + 336 more",89 years old,10k-50k Employees (India)
64,ITC,3.9,(6.9k Reviews),Public,"Kolkata,West Bengal + 216 more",47 years old,10k-50k Employees (India)
65,UltraTech Cement,4.3,(3.8k Reviews),Public,"Mumbai,Maharashtra + 320 more",39 years old,10k-50k Employees (India)
66,Hewlett-Packard ...,4.3,(4.9k Reviews),Private,"Houston,Texas + 86 more",83 years old,10k-50k Employees (India)
67,Ujjivan Small Fi...,4.1,(3.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 369 more",5 years old,10k-50k Employees (India)
68,OPPO,4.0,(3.6k Reviews),Public,"Dongguan,Guangdong + 305 more",18 years old,10k-50k Employees (India)
69,Paytm,3.7,(4.2k Reviews),Public,Noida + 221 more,12 years old,10k-50k Employees (India)
70,Shapoorji Pallon...,4.4,(5.1k Reviews),Private,"Mumbai,Maharashtra + 132 more",157 years old,5k-10k Employees (India)
71,Intelenet Global...,3.7,(3.3k Reviews),Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India)
72,IIFL,3.9,(3.3k Reviews),Public,"Mumbai,Maharashtra + 434 more",27 years old,5k-10k Employees (India)
73,Ashok Leyland,4.1,(3.9k Reviews),Public,"Chennai,Tamil Nadu + 182 more",74 years old,10k-50k Employees (India)
74,KPMG,3.8,(3.2k Reviews),Partnership,New York + 51 more,35 years old,10k-50k Employees (India)
75,Shriram Transpor...,4.2,(5.1k Reviews),Public,"Mumbai,Maharashtra + 630 more",43 years old,10k-50k Employees (India)
76,Mahindra & Mahin...,4.3,(3.2k Reviews),Public,"Mumbai,Maharashtra + 538 more",31 years old,10k-50k Employees (India)
77,Sun Pharmaceutic...,4.1,(3.7k Reviews),Public,Mumbai + 138 more,39 years old,10k-50k Employees (India)
78,Mindtree,4.1,(3.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 23 more",23 years old,10k-50k Employees (India)
79,JP Morgan Chase,4.2,(3.2k Reviews),Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India)
80,Aurobindo Pharma,4.1,(3.4k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 48 more",36 years old,1k-5k Employees (India)
81,Apollo Hospitals,4.1,(5k Reviews),Public,"San Francisco,California + 159 more",39 years old,50k-1 Lakh Employees (India)
82,Reliance Communi...,4.0,(3.6k Reviews),Public,"Navi Mumbai,Maharashtra + 364 more",20 years old,10k-50k Employees (India)
83,Vivo,4.1,(3.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 315 more",13 years old,5k-10k Employees (India)
84,Future Group,4.2,(10k Reviews),Private,"Mumbai,Maharashtra + 196 more",9 years old,50k-1 Lakh Employees (India)
85,Fidelity Nationa...,4.1,(3.2k Reviews),Private,"Jacksonville,Florida + 31 more",17 years old,10k-50k Employees (India)
86,Nokia,4.4,(3.2k Reviews),Private,"Espoo,Southern Finland + 167 more",157 years old,10k-50k Employees (India)
87,Siemens,4.2,(3.1k Reviews),Public,"Munich,Bavaria + 101 more",30 years old,10k-50k Employees (India)
88,Wells Fargo Indi...,4.2,(3k Reviews),Private,"San Francisco,California + 11 more",24 years old,10k-50k Employees (India)
89,Bandhan Bank,4.0,(3.2k Reviews),Public,"Kolkata,West Bengal + 496 more",21 years old,10k-50k Employees (India)
90,eClerx,3.6,(2.9k Reviews),Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India)
91,Wipro BPS,3.8,(2.9k Reviews),Bengaluru + 36 more,22 years old,1 Lakh+ Employees (India),
92,Max Life Insuran...,4.2,(2.9k Reviews),JV,"Gurgaon/Gurugram,Haryana + 263 more",22 years old,10k-50k Employees (India)
93,Delhivery,4.2,(2.8k Reviews),Private,"Delhi,NCT + 425 more",11 years old,10k-50k Employees (India)
94,TVS Motor,4.1,(3.1k Reviews),Public,"Chennai,Tamil Nadu + 228 more",43 years old,5k-10k Employees (India)
95,Oyo Rooms,3.6,(3k Reviews),Private,"Gurgaon,Haryana + 101 more",9 years old,1k-5k Employees (India)
96,AU Small Finance...,4.1,(3.8k Reviews),Private,"Jaipur,Rajasthan + 275 more",26 years old,10k-50k Employees (India)
97,Cyient,3.7,(2.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 26 more",31 years old,10k-50k Employees (India)
98,Tata Projects,4.2,(2.8k Reviews),Public,"Mumbai,Maharashtra + 191 more",43 years old,5k-10k Employees (India)
99,JLL,4.3,(2.8k Reviews),Private,"Mumbai,Maharashtra + 58 more",25 years old,10k-50k Employees (India)
100,First Source,4.0,(2.8k Reviews),Public,"Mumbai,Maharashtra + 45 more",21 years old,5k-10k Employees (India)
101,Hero MotoCorp,4.3,(2.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 259 more",38 years old,5k-10k Employees (India)
102,Oracle,3.9,(3.5k Reviews),Public,"Austin,Texas + 30 more",45 years old,10k-50k Employees (India)
103,JSW Steel,3.9,(4.1k Reviews),Public,"Mumbai,Maharashtra + 87 more",40 years old,10k-50k Employees (India)
104,TATA Steel,4.1,(4.2k Reviews),Public,"Mumbai,Maharashtra + 120 more",115 years old,10k-50k Employees (India)
105,Hexaware Technol...,3.8,(2.7k Reviews),Public,"Mumbai,Maharashtra + 29 more",32 years old,10k-50k Employees (India)
106,Hyundai Motor,4.1,(3.6k Reviews),Private,Seoul + 219 more,55 years old,5k-10k Employees (India)
107,Bosch,4.3,(3.6k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 83 more",136 years old,10k-50k Employees (India)
108,Atos Syntel,3.7,(4.3k Reviews),Private,"Troy,Michigan + 14 more",42 years old,10k-50k Employees (India)
109,JustDial,3.6,(2.7k Reviews),Public,"Mumbai,Maharashtra + 123 more",26 years old,10k-50k Employees (India)
110,iEnergizer,3.5,(2.5k Reviews),Private,"Noida,Uttar Pradesh + 14 more",22 years old,5k-10k Employees (India)
111,Megha Engineerin...,4.2,(2.5k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 182 more",33 years old,1k-5k Employees (India)
112,Quess,3.9,(7.5k Reviews),Public,Bangalore + 293 more,15 years old,10k-50k Employees (India)
113,Dell,4.2,(3.5k Reviews),Private,"Round Rock,Texas + 84 more",38 years old,50k-1 Lakh Employees (India)
114,Godrej & Boyce M...,3.9,(2.5k Reviews),Private,"Mumbai,Maharashtra + 120 more",125 years old,10k-50k Employees (India)
115,Viatris,4.3,(2.4k Reviews),"Canonsburg,Pennsylvania + 60 more",61 years old,1k-5k Employees (India),
116,BNY Mellon,4.2,(2.4k Reviews),Private,"New York City,New York + 10 more",18 years old,10k-50k Employees (India)
117,Omega Healthcare,3.8,(2.4k Reviews),Private,Florida + 26 more,18 years old,1k-5k Employees (India)
118,Fullerton India,4.2,(2.4k Reviews),Private,Mumbai + 382 more,15 years old,10k-50k Employees (India)
119,SBI Cards & Paym...,3.8,(2.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 227 more",24 years old,5k-10k Employees (India)
120,Aditya Birla Fas...,4.3,(2.8k Reviews),Private,Mumbai + 191 more,7 years old,10k-50k Employees (India)
121,UnitedHealth,4.2,(4.1k Reviews),Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India)
122,L&T Construction,4.1,(3k Reviews),Public,Chennai + 246 more,78 years old,10k-50k Employees (India)
123,Cgi Group,4.2,(2.4k Reviews),Private,"Montreal,Quebec + 14 more",31 years old,10k-50k Employees (India)
124,Manappuram Finan...,4.0,(3k Reviews),Public,"Thrissur/Trichur,Kerala + 355 more",73 years old,10k-50k Employees (India)
